20050101_20090101收益,20090101_20130101收益,20130101_20170101收益,快线,慢线,择时变量,sigmod乘积
3.2436968727651903,1.1406423886022674,1.4849661750564278,120.0,190.0,收盘价-成交量,0.29942682485769306
3.2436968727651903,1.1406423886022674,1.4849661750564278,120.0,190.0,成交量,0.29942682485769306
3.6520745398096497,1.0244334131175261,1.5465314691451915,30.0,130.0,最高价,0.29942290856704673
3.578408146840381,1.0938792241593758,1.4674913509217846,40.0,160.0,开盘价,0.29911227761086673
3.586537368586459,1.2425965535018444,1.2975795131800956,70.0,130.0,收盘价,0.29904688285634423
3.731770645307139,1.0545455445967589,1.489757585764585,10.0,150.0,收盘价,0.2990110118462334
3.848806188844585,1.2759501244855171,1.2254323526321178,80.0,130.0,收盘价,0.2988751984785372
3.765093499415318,1.1816978278265422,1.3325071188907043,30.0,80.0,最高价,0.2987533432495898
3.6089140884558617,1.1572908118885712,1.3817633227507407,30.0,160.0,收盘价,0.29849683946559236
3.792319077107761,1.2455707302810362,1.258714882283549,90.0,120.0,收盘价,0.2983497023580937
3.8630122595678777,1.1787389471637226,1.3183612946950487,40.0,130.0,收盘价,0.2982347080784363
3.1662950739285267,1.1814926002974422,1.4439197344108534,110.0,190.0,收盘价-成交量,0.2980093795120555
3.1662950739285267,1.1814926002974422,1.4439197344108534,110.0,190.0,成交量,0.2980093795120555
4.127528575767799,1.0401388634470734,1.4457010110223185,30.0,120.0,最低价,0.29787036206625767
3.532160709239613,1.1263308955978002,1.4244401517737237,10.0,100.0,收盘价,0.2976788345997589
3.0611960897878663,1.3407878573832446,1.2977673017106541,10.0,90.0,开盘价,0.2975022744093129
3.431590628042991,1.238400614800631,1.3163890536233696,80.0,110.0,最高价,0.2973948905948679
4.0970351166571355,1.216004990242194,1.2461313764213124,90.0,120.0,开盘价,0.29736568191030305
2.3227820819361282,1.3683080556041187,1.561826563278711,30.0,140.0,收盘价-成交量,0.2972418654605269
2.3227820819361282,1.3683080556041187,1.561826563278711,30.0,140.0,成交量,0.2972418654605269
3.7044418835821173,1.0356859319920633,1.5022359955896598,10.0,150.0,最高价,0.29716694107328717
4.005110074669697,1.0895365929530532,1.393214830825611,20.0,100.0,开盘价,0.29716432865025016
3.277839910550965,1.2865687399734493,1.2962505798208326,90.0,210.0,收盘价-成交量,0.2971165315443806
3.277839910550965,1.2865687399734493,1.2962505798208326,90.0,210.0,成交量,0.2971165315443806
3.8792587712693094,1.1928945239258035,1.2921010399849653,80.0,120.0,最低价,0.2970890651058414
3.7656494424539653,1.0310447769956237,1.4970603021708324,20.0,150.0,开盘价,0.297016595309926
3.6497334646498185,1.2228554027243144,1.2911345529287752,40.0,130.0,开盘价,0.2969067928509735
3.5818115661290353,1.2119299181165486,1.3124947877955344,70.0,130.0,最高价,0.29678241749895246
3.5524384180187742,1.1129443748857055,1.4283535841147994,30.0,150.0,最低价,0.29670748559109206
3.595474865098232,1.107777534436041,1.4259046763832623,20.0,140.0,最高价,0.2966009092646688
3.3373346778927777,1.258892761099185,1.307064175425165,90.0,220.0,成交量,0.2965286694571569
3.3373346778927777,1.258892761099185,1.307064175425165,90.0,220.0,收盘价-成交量,0.2965286694571569
3.956675625903997,1.1915446060008874,1.2784683044333038,50.0,90.0,最低价,0.29635002652263015
3.666299152343115,1.1275662621820046,1.388483007051763,30.0,170.0,最低价,0.2963394820931845
3.651666569652993,1.2155985988658091,1.2936137326685213,70.0,130.0,开盘价,0.2963002010464177
3.831736402060246,1.1113236661899342,1.3821563901410994,50.0,100.0,最低价,0.2962686609478808
3.3587528342344677,1.1846106912946246,1.3786737315479776,90.0,100.0,收盘价,0.29610036747991053
4.118018977192948,1.065993365115898,1.3988658556989524,40.0,120.0,最低价,0.2959812350034074
2.651570578216861,1.1789624403580428,1.6080416895752452,10.0,50.0,收盘价,0.29590066749510135
3.4429362128759085,1.2887155961418726,1.2501898147747335,10.0,90.0,最高价,0.2957136219317072
3.832925515651427,1.2048949238271396,1.2741600479772213,90.0,130.0,最高价,0.29565972692928427
3.5607398590624526,1.284179434891886,1.23261062006212,70.0,120.0,最高价,0.2954907340346686
2.627539457308942,1.3992298934623248,1.3656590198815406,30.0,170.0,收盘价-成交量,0.29535112736499364
2.627539457308942,1.3992298934623248,1.3656590198815406,30.0,170.0,成交量,0.29535112736499364
3.961202622945665,1.0579660267165563,1.4211946779150695,10.0,140.0,最低价,0.29534552889450916
3.688792247492224,1.1269445862925023,1.3769467840455423,30.0,160.0,开盘价,0.2952975746371439
3.679582183300381,1.0226138149391455,1.5060364681353664,10.0,140.0,开盘价,0.29521594905776205
3.6484233642555015,1.2756993013647295,1.2251031792459834,70.0,100.0,开盘价,0.29521356440953217
3.5448367743307188,1.1414998074644338,1.3834355831119505,30.0,150.0,收盘价,0.29518535497476844
3.4305779067053392,1.140974657519077,1.404991650412805,30.0,140.0,开盘价,0.29508692170176914
3.67754061382694,1.1044621376469477,1.4030678547139945,20.0,160.0,最高价,0.29507148379325193
3.6942618376412697,1.127989706684898,1.3720339689967607,40.0,90.0,最高价,0.29495367241286097
3.4612817913312526,1.2192688979874418,1.311036961388346,100.0,220.0,收盘价-成交量,0.2949162671120067
