交易日期,总市值,净利润,股票数量,平均市盈率
2017-03-21,4752293877850.489,85736984051.84877,503,55.428750269272086
2017-03-22,4744426997285.17,86061355852.80827,504,55.12842495067842
2017-03-23,4760854912132.101,85847130479.82817,506,55.457356413919705
2017-03-24,4798374926690.848,85994871944.90921,508,55.79838446372506
2017-03-27,4776589701845.993,86919675109.88681,509,54.954067601003636
2017-03-28,4768092226372.956,86408659038.34172,510,55.18072238868135
2017-03-29,4725658434438.883,87523266301.64131,513,53.99316814973875
2017-03-30,4586526094611.429,87408056242.06903,512,52.47257852193215
2017-03-31,4612893999020.526,87572549916.55203,512,52.67511341643195
2017-04-05,4701440598232.617,87191177076.54062,511,53.92105894046442
2017-04-06,4751322350385.157,87524654456.50229,513,54.28553108708876
2017-04-07,4737175938048.453,87981561086.74405,511,53.842826605200926
2017-04-10,4594394038442.01,87209294592.50143,513,52.68238964562215
2017-04-11,4621205520850.318,87013682921.61194,512,53.10895212898213
2017-04-12,4611445502076.53,86497474487.7725,516,53.31306525866736
2017-04-13,4631236023499.772,86386539734.82661,516,53.61062079481228
2017-04-14,4583795169950.999,86516860140.68509,518,52.981524786004584
2017-04-17,4460977745829.614,84075927631.58113,521,53.05891795065909
2017-04-18,4428087634904.319,85188319360.2514,524,51.97998584968506
2017-04-19,4391146810148.319,86137960434.35362,523,50.97806806668988
2017-04-20,4362157525891.4575,86148685586.4371,526,50.635218589779825
2017-04-21,4350026478540.58,85480847976.85338,529,50.88890180076929
2017-04-24,4255540954744.581,85389807355.91444,531,49.83663842930341
2017-04-25,4344570816534.619,88980385329.0014,542,48.82616320968653
2017-04-26,4418795040361.479,90732489234.27257,553,48.70135359068665
2017-04-27,4563262881236.427,92818328441.01164,565,49.163381391170965
2017-04-28,4625418500266.457,92266908959.72452,570,50.13084921144916
2017-05-02,4599056533632.5,91628957620.68687,567,50.19217344664173
2017-05-03,4614018801204.515,91945794100.20645,570,50.18194520323529
2017-05-04,4606950932642.291,91941484944.33374,570,50.107423601343655
2017-05-05,4552256867575.99,91939339371.13942,570,49.51369999733742
2017-05-08,4457188385560.03,92168570484.87067,570,48.35909206481261
2017-05-09,4506078915906.502,92168618579.11617,570,48.88951343063204
2017-05-10,4383220042823.638,91215790665.82298,567,48.053303170740996
2017-05-11,4391104598741.4385,91209880831.70207,569,48.14286082495582
2017-05-12,4367210768765.9126,90998866091.39183,565,47.99192513431808
2017-05-15,4370392681021.1177,91006555774.4624,563,48.02283356214548
2017-05-16,4475363135550.841,90933740869.73384,559,49.21564968895291
2017-05-17,4504038642569.302,90954537705.66351,560,49.51966945447788
2017-05-18,4496694714826.658,91082743901.47327,560,49.369337398210774
2017-05-19,4467351891931.595,91072498571.65143,560,49.052699354865055
2017-05-22,4363585591816.439,91068713535.47449,560,47.91530946702863
2017-05-23,4215231841513.42,91053301327.1551,559,46.294113228998306
2017-05-24,4264649473832.469,91037575832.75572,559,46.84493666293374
2017-05-25,4281901568942.822,91063347461.01343,559,47.021130765877174
2017-05-26,4237350518696.6685,90172727589.91411,559,46.99148658303
2017-05-31,4229369489303.6406,90164515938.66702,559,46.90724998934838
2017-06-01,4077846659947.982,90159065381.94641,559,45.2294690797065
2017-06-02,4155035451770.3604,89740492022.9787,560,46.300564640390355
2017-06-05,4237039089176.498,90365448927.23187,561,46.88782205451596
2017-06-06,4246574350512.4395,90337873524.36058,560,47.007685534764164
2017-06-07,4362685025222.551,90333861731.35052,560,48.295123684593605
2017-06-08,4324478000000.0,89956588782.44083,558,48.07294338893519
2017-06-09,4329320565374.139,90080528737.479,558,48.06055899151131
2017-06-12,4240967352027.9106,90131066234.7543,559,47.05333609370533
2017-06-13,4319100889450.4004,90071936890.07841,559,47.951682161796136
2017-06-14,4299590958323.0474,88738256365.78857,559,48.452506668597074
2017-06-15,4377220968482.963,88649154500.96355,558,49.37690599672201
2017-06-16,4387785982869.8516,89048442694.07036,561,49.27414618517556
2017-06-19,4410692238525.158,89114805060.2238,562,49.49449460776368
2017-06-20,4423361662679.117,89293824018.8783,562,49.53715121153217
2017-06-21,4492880000000.0,91222111484.69565,567,49.25209389341718
2017-06-22,4370369608310.9272,90513713188.15123,565,48.28406055142409
2017-06-23,4386341000000.0,90562947639.13673,567,48.43416777331621
