code,start,param,stock_rtn,stock_md,stock_md_start,stock_md_end,strategy_rtn,strategy_md,strategy_md_start,strategy_md_end,excessive_rtn
sh603108,2015-07-02,26,-0.0023406123177359683,-0.6512236487599862,2015-11-12,2019-01-25,-0.07638614777593977,-0.5940415721098578,2015-11-12,2019-01-08,-0.0740455354582038
sh603108,2015-07-06,28,-0.004174764981403012,-0.6512236487599862,2015-11-12,2019-01-25,-0.10472578133629884,-0.5231333295415812,2015-11-12,2020-02-28,-0.10055101635489583
sh603108,2015-07-13,30,-0.0017062171667588943,-0.6512236487599862,2015-11-12,2019-01-25,-0.12076527414498817,-0.5809586118103147,2015-11-12,2019-12-30,-0.11905905697822927
sz002438,2010-07-06,10,0.021399416382557046,-0.7027471177979405,2015-05-22,2018-10-18,-0.12243199810601879,-0.770971038209384,2010-11-04,2020-02-11,-0.14383141448857584
sz002438,2010-07-08,12,0.025818552480253443,-0.7027471177979405,2015-05-22,2018-10-18,-0.10302615647289248,-0.7567584904649175,2012-05-31,2020-02-19,-0.12884470895314593
sz002438,2010-07-12,14,0.022632898358674325,-0.7027471177979405,2015-05-22,2018-10-18,-0.07409020957505785,-0.693871691970639,2015-04-17,2020-03-13,-0.09672310793373218
sz002438,2010-07-14,16,0.018977926191775962,-0.7027471177979405,2015-05-22,2018-10-18,-0.09752167688566638,-0.7532982877340002,2015-04-17,2020-03-13,-0.11649960307744234
sz002438,2010-07-16,18,0.023930210267820273,-0.7027471177979405,2015-05-22,2018-10-18,-0.06877510388643127,-0.7446264257143571,2015-04-17,2020-03-13,-0.09270531415425154
sz002438,2010-07-20,20,0.021056632641820672,-0.7027471177979405,2015-05-22,2018-10-18,-0.017207303100855276,-0.6375754833549276,2015-04-17,2020-03-13,-0.03826393574267595
sz002438,2010-07-22,22,0.0121116579283298,-0.7027471177979405,2015-05-22,2018-10-18,-0.04848862539580889,-0.6008337109846037,2015-04-17,2020-03-13,-0.06060028332413869
sz002438,2010-07-26,24,0.011079111192542568,-0.7027471177979405,2015-05-22,2018-10-18,-0.09681968323385248,-0.7129021649833356,2010-11-04,2020-03-13,-0.10789879442639505
sz002438,2010-07-28,26,0.011730761995999428,-0.7027471177979405,2015-05-22,2018-10-18,-0.0591765735683113,-0.5929951707259659,2010-11-04,2018-02-06,-0.07090733556431073
sz002438,2010-07-30,28,0.012266150818233124,-0.7027471177979405,2015-05-22,2018-10-18,-0.05561555473929092,-0.6697682309306812,2012-05-31,2020-03-13,-0.06788170555752404
sz002438,2010-08-03,30,0.010073529277216942,-0.7027471177979405,2015-05-22,2018-10-18,-0.06823298282776324,-0.673281741216309,2012-05-31,2020-03-13,-0.07830651210498019
sh600401,2006-01-04,10,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.3556445148849987,-0.5079398420838513,2015-06-15,2017-10-18,0.5187055555606626
sh600401,2006-01-04,12,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.27532284537706975,-0.7038308892271734,2015-06-15,2017-10-18,0.4383838860527336
sh600401,2006-01-04,14,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.3040273513129279,-0.5902344383903713,2015-06-15,2017-10-18,0.46708839198859176
sh600401,2006-01-04,16,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.23343988893422307,-0.6367152959983865,2015-06-15,2017-10-18,0.3965009296098869
sh600401,2006-01-04,18,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.2779758172241056,-0.5685143275172884,2015-06-15,2017-10-18,0.44103685789976943
sh600401,2006-01-04,20,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.1868601035264359,-0.6572456647523202,2015-06-15,2019-07-08,0.34992114420209974
sh600401,2006-01-04,22,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.12173602730036603,-0.6228343701507408,2015-06-15,2019-07-08,0.2847970679760299
