candle_end_time,open,high,low,close,amount,info
1993-04-30,1341.540,1363.110,1336.590,1358.780,399489.000,
1993-05-03,1365.150,1380.500,1349.980,1352.240,595189.000,
1993-05-04,1352.080,1365.920,1234.550,1241.160,712924.000,
1993-05-05,1232.650,1273.130,1204.060,1246.820,460095.000,
1993-05-06,1250.390,1250.390,1151.490,1162.920,465677.000,
1993-05-07,1194.260,1210.780,1159.160,1199.810,432208.000,
1993-05-10,1216.720,1221.980,1110.940,1128.290,397381.000,
1993-05-11,1124.850,1138.490,1107.660,1136.740,241420.000,
1993-05-12,1138.520,1160.510,1133.930,1140.190,248629.000,
1993-05-13,1140.210,1177.280,1140.210,1177.280,193316.000,
1993-05-14,1180.460,1201.440,1161.190,1167.470,257025.000,
1993-05-17,1162.070,1162.070,1097.610,1140.040,194831.000,
1993-05-18,1140.040,1148.340,1128.750,1130.260,194902.000,
1993-05-19,1129.100,1147.220,1127.430,1147.220,117361.000,
1993-05-20,1148.560,1175.200,1148.560,1165.400,243879.000,
1993-05-21,1177.300,1178.540,1133.200,1143.970,153564.000,
1993-05-24,1136.290,1143.970,1024.690,1026.130,386971.000,
1993-05-25,1020.320,1020.320,965.290,997.950,301063.000,
1993-05-26,1003.890,1008.550,992.940,995.450,202565.000,
1993-05-27,1001.190,1001.630,942.210,963.610,253021.000,
1993-05-28,962.210,980.960,959.250,972.770,218418.000,
1993-05-31,975.050,980.030,930.640,935.480,341908.000,
1993-06-01,935.900,935.900,859.480,928.580,275858.000,
1993-06-02,958.610,1081.200,904.320,1081.200,998845.000,
1993-06-03,1102.080,1177.910,961.320,1018.290,1103750.000,
1993-06-04,1024.740,1031.030,981.890,1004.300,501039.000,
1993-06-07,1006.260,1068.840,982.030,1064.980,449562.000,
1993-06-08,1094.110,1101.690,1054.310,1074.580,1012359.000,
1993-06-09,1071.330,1081.180,1053.320,1065.190,454704.000,
1993-06-10,1069.360,1070.060,1040.380,1044.440,323043.000,
1993-06-11,1043.940,1052.560,1024.200,1047.000,279582.000,
1993-06-14,1046.070,1046.070,990.160,1000.430,421872.000,
1993-06-15,998.700,1002.960,981.840,1001.610,233735.000,
1993-06-16,1004.400,1013.810,997.330,1004.240,150296.000,
1993-06-17,998.210,1016.230,998.000,998.000,134333.000,
1993-06-18,994.200,1007.250,989.210,1005.980,148633.000,
1993-06-21,1003.980,1003.980,967.740,977.610,175266.000,
1993-06-22,972.100,987.070,971.630,981.130,163053.000,
1993-06-23,981.400,991.210,980.530,986.020,136033.000,
1993-06-24,985.620,993.800,974.170,980.170,137405.000,
1993-06-25,979.930,1041.220,979.930,1006.640,224395.000,
1993-06-28,1006.630,1010.520,983.970,1002.420,328363.000,
1993-06-29,1008.230,1037.490,1002.610,1028.440,832428.000,
1993-06-30,1037.890,1043.050,1003.860,1007.050,580650.000,
1993-07-01,1000.800,1009.890,980.050,997.530,399042.000,
1993-07-02,995.700,1002.870,986.980,986.980,264050.000,
1993-07-05,976.670,980.920,946.870,952.310,286416.000,
1993-07-06,938.420,938.420,895.690,897.640,326223.000,
1993-07-07,897.220,909.930,869.650,903.790,233995.000,
1993-07-08,904.460,909.110,895.620,896.160,120235.000,
1993-07-09,896.160,896.240,865.310,868.570,174935.000,
1993-07-12,855.500,855.500,828.550,845.520,433849.000,
1993-07-13,853.660,870.050,853.660,870.050,284326.000,
1993-07-14,870.050,870.050,833.080,836.390,308157.000,
1993-07-15,833.890,847.300,830.610,838.700,179233.000,
1993-07-16,841.620,849.660,839.280,846.870,190163.000,
1993-07-19,846.870,849.040,836.710,836.980,336058.000,
1993-07-20,835.790,838.340,803.220,808.210,194281.000,
1993-07-21,809.530,820.070,808.200,811.740,162936.000,
1993-07-22,812.100,815.530,804.100,815.530,148958.000,
1993-07-23,816.080,818.550,811.470,813.540,202723.000,
1993-07-26,810.070,810.070,787.800,787.810,245459.000,
1993-07-27,788.190,798.850,777.730,791.620,148109.000,
1993-07-28,792.880,818.060,791.230,798.330,439472.000,
1993-07-29,801.160,810.630,801.160,806.670,259666.000,
1993-07-30,810.090,901.120,810.090,881.070,1222140.000,
1993-08-02,885.310,913.150,842.350,843.270,1327100.000,
1993-08-03,842.290,853.350,830.670,832.720,307480.000,
1993-08-04,833.400,855.860,823.000,850.540,343278.000,
1993-08-05,853.710,863.940,842.720,849.300,538329.000,
1993-08-06,841.390,860.730,841.390,855.520,524068.000,
1993-08-09,866.650,887.450,861.340,885.270,1088229.000,
1993-08-10,897.460,911.770,861.190,862.080,1438809.000,
1993-08-11,862.400,883.020,861.780,883.020,435531.000,
1993-08-12,896.740,917.960,893.510,917.040,1015690.000,
1993-08-13,929.420,947.260,922.520,947.260,1332470.000,
1993-08-16,969.900,1023.870,967.350,1023.870,1432879.000,
1993-08-17,1042.420,1042.470,973.480,974.110,1542720.000,
1993-08-18,974.110,988.140,947.930,947.930,642827.000,
1993-08-19,944.580,980.430,944.470,968.510,448297.000,
1993-08-20,973.000,977.390,937.990,946.540,451256.000,
1993-08-23,933.720,937.300,888.680,893.230,497704.000,
1993-08-24,878.090,902.300,873.130,894.440,342212.000,
1993-08-25,904.740,921.210,904.740,911.400,285672.000,
